point_id,Morphology,Size,Class2,Type,Detail,Type2,Sample,No,Group,Year,Month,Day,Event
21,spherical,0.79,1,Mineral,,Mineral,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
22,irregular,0.971,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
23,spherical,0.688,1,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
24,cluster,0.887,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
25,irregular,0.957,1,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
26,spherical,0.688,1,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
27,irregular,2.58,4,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
28,irregular,1.17,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
29,irregular,1.76,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
30,cluster,0.575,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
31,cluster,1.22,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
32,irregular,1.21,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
33,spherical,0.519,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
34,irregular,0.925,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
35,cluster,0.731,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
36,cluster,1.52,2.5,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
37,irregular,0.628,1,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
38,irregular,1.46,2.5,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
39,cluster,0.941,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
40,irregular,4.64,4,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
41,cluster,3.4,4,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
42,irregular,1.7,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
43,irregular,1.31,2.5,Carbonaceous,n-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
44,irregular,0.991,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
45,cluster,3.38,4,Carbonaceous,n-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
46,irregular,0.562,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
47,cluster,0.581,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
48,irregular,1.66,2.5,Carbonaceous,,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
49,irregular,1.28,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
50,irregular,1.14,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
1,cluster,0.797,1,Flourine compound,,Others,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
2,irregular,2.69,4,Fe-rich,,Fe-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
3,irregular,1.52,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
4,irregular,2.25,2.5,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
5,cluster,2.03,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
6,spherical,4.37,4,Mineral,,Mineral,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
7,irregular,2.05,2.5,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
8,irregular,0.933,1,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
9,irregular,1.14,2.5,Fly ash,,Others,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
10,spherical,0.852,1,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
11,cluster,1.04,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
12,irregular,1.45,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
13,cluster,2.48,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
14,cluster,1.42,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
15,spherical,0.926,1,Mineral,,Mineral,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
16,chainlike,1.17,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
17,spherical,2.71,4,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
18,chainlike,1.53,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
19,irregular,1.15,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
20,cluster,1.31,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
21,spherical,0.881,1,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
22,irregular,1.97,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
23,irregular,2.31,2.5,Fe-rich,,Fe-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
24,irregular,0.861,1,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
25,spherical,0.988,1,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
26,spherical,3.32,4,Fe-rich,,Fe-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
27,cluster,1.4,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
28,cluster,1.42,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
29,spherical,0.87,1,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
30,irregular,1.33,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
31,cluster,1.55,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
32,irregular,1.27,2.5,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
33,spherical,2.39,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
34,spherical,1.44,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
35,irregular,0.849,1,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
36,chainlike,1.14,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
37,spherical,1.25,2.5,Mineral,,Mineral,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
38,irregular,1.02,2.5,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
39,irregular,0.582,1,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
40,irregular,1.97,2.5,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
41,cluster,0.548,1,Mineral,,Mineral,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
42,irregular,1.78,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
43,spherical,0.981,1,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
44,cluster,1.65,2.5,Carbonaceous,N-rich,Carbonaceous,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
45,cluster,1.85,2.5,N-rich,,N-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
46,spherical,0.504,1,Fe-rich,,Fe-rich,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
47,spherical,0.457,1,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
48,irregular,2.37,2.5,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
49,irregular,0.665,1,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
50,irregular,1.07,2.5,Transition metal,,Transition metal,"12. Seoul (12.26, event)",12,Seoul,2020,12,26,Event
1,irregular,2.12,2.5,Fly ash,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
2,irregular,2.3,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
3,spherical,1.16,2.5,Fly ash,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
4,irregular,1.26,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
5,irregular,3.08,4,Transition metal,,Transition metal,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
6,cluster,2.18,2.5,Flourine compound,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
7,irregular,1,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
8,spherical,0.79,1,Fly ash,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
9,irregular,1.77,2.5,Mineral,,Mineral,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
10,spherical,1.33,2.5,Barite,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
11,irregular,1.29,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
12,irregular,2.73,4,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
13,irregular,1.53,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
14,irregular,0.757,1,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
15,spherical,1.01,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
16,irregular,0.983,1,Transition metal,,Transition metal,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
17,irregular,0.78,1,Barite,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
18,spherical,1.41,2.5,Mineral,,Mineral,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
19,irregular,0.759,1,Transition metal,,Transition metal,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
20,spherical,0.992,1,Mineral,,Mineral,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
21,irregular,1.21,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
22,irregular,2.1,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
23,irregular,1.38,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
24,irregular,1.32,2.5,Mineral,,Mineral,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
25,irregular,1.07,2.5,Transition metal,,Transition metal,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
26,irregular,1.29,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
27,irregular,0.867,1,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
28,irregular,0.82,1,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
29,spherical,0.54,1,Rare earth metal,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
